Latitude (decimal degrees):	40.396
Longitude (decimal degrees):	-3.611
Elevation (m):	686
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg.
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,6.29,2.0,0.0
20230101:0110,0.0,0.0,0.0,5.7,1.79,0.0
20230101:0210,0.0,0.0,0.0,5.18,1.72,0.0
20230101:0310,0.0,0.0,0.0,4.65,1.72,0.0
20230101:0410,0.0,0.0,0.0,4.22,1.72,0.0
20230101:0510,0.0,0.0,0.0,3.93,1.72,0.0
20230101:0610,0.0,0.0,0.0,3.61,1.66,0.0
20230101:0710,0.0,0.0,0.0,4.38,1.52,0.0
20230101:0810,117.48,152.67,4.4,4.46,1.38,0.0
20230101:0910,251.15,292.06,13.04,6.47,0.97,0.0
20230101:1010,263.42,308.63,19.98,9.99,1.17,0.0
20230101:1110,650.07,775.71,24.67,12.18,1.38,0.0
20230101:1210,674.39,811.66,26.57,13.69,1.59,0.0
20230101:1310,656.15,787.68,25.43,14.76,1.93,0.0
20230101:1410,441.51,521.22,21.41,15.29,2.07,0.0
20230101:1510,100.5,132.21,14.99,15.55,2.0,0.0
20230101:1610,126.2,164.83,6.73,14.81,1.72,0.0
20230101:1710,0.0,0.0,0.0,13.32,2.14,0.0
20230101:1810,0.0,0.0,0.0,11.91,2.41,0.0
20230101:1910,0.0,0.0,0.0,11.21,2.83,0.0
20230101:2010,0.0,0.0,0.0,10.89,3.03,0.0
20230101:2110,0.0,0.0,0.0,10.39,3.03,0.0
20230101:2210,0.0,0.0,0.0,10.01,2.83,0.0
20230101:2310,0.0,0.0,0.0,9.41,2.62,0.0
20230102:0010,0.0,0.0,0.0,8.79,2.28,0.0
20230102:0110,0.0,0.0,0.0,8.31,1.93,0.0
20230102:0210,0.0,0.0,0.0,8.45,1.59,0.0
20230102:0310,0.0,0.0,0.0,8.31,1.52,0.0
20230102:0410,0.0,0.0,0.0,8.34,1.59,0.0
20230102:0510,0.0,0.0,0.0,8.42,1.38,0.0
20230102:0610,0.0,0.0,0.0,8.48,1.24,0.0
20230102:0710,0.0,0.0,0.0,8.32,0.9,0.0
20230102:0810,25.59,44.14,4.4,7.94,0.83,0.0
20230102:0910,332.39,388.21,13.05,8.67,0.62,0.0
20230102:1010,177.4,214.21,20.02,9.73,0.62,0.0
20230102:1110,134.15,168.14,24.73,11.11,0.69,0.0
20230102:1210,143.52,179.23,26.65,11.83,0.69,0.0
20230102:1310,309.42,365.14,25.54,12.55,1.1,0.0
20230102:1410,222.29,266.22,21.53,12.87,1.52,0.0
20230102:1510,141.75,176.63,15.11,12.69,1.45,0.0
20230102:1610,47.95,71.57,6.86,12.47,1.17,0.0
20230102:1710,0.0,0.0,0.0,11.56,1.17,0.0
20230102:1810,0.0,0.0,0.0,10.55,1.24,0.0
20230102:1910,0.0,0.0,0.0,10.03,0.69,0.0
20230102:2010,0.0,0.0,0.0,8.86,0.9,0.0
20230102:2110,0.0,0.0,0.0,8.25,0.97,0.0
20230102:2210,0.0,0.0,0.0,8.06,0.76,0.0
20230102:2310,0.0,0.0,0.0,7.85,0.69,0.0
20230103:0010,0.0,0.0,0.0,6.79,0.97,0.0
20230103:0110,0.0,0.0,0.0,6.01,1.31,0.0
20230103:0210,0.0,0.0,0.0,5.76,1.45,0.0
20230103:0310,0.0,0.0,0.0,5.81,1.52,0.0
20230103:0410,0.0,0.0,0.0,5.5,1.59,0.0
20230103:0510,0.0,0.0,0.0,5.79,1.66,0.0
20230103:0610,0.0,0.0,0.0,5.58,1.79,0.0
20230103:0710,0.0,0.0,0.0,5.75,1.38,0.0
20230103:0810,143.95,184.2,4.4,5.46,1.52,0.0
20230103:0910,386.31,443.53,13.07,6.37,1.31,0.0
20230103:1010,190.08,226.47,20.06,8.84,1.52,0.0
20230103:1110,413.97,479.15,24.79,10.55,1.79,0.0
20230103:1210,675.96,807.26,26.74,11.58,1.45,0.0
20230103:1310,617.97,741.65,25.65,12.07,0.83,0.0
20230103:1410,393.11,463.95,21.66,12.32,0.55,0.0
20230103:1510,391.75,464.8,15.25,12.32,0.41,0.0
20230103:1610,220.89,274.12,7.0,11.97,0.48,0.0
20230103:1710,0.0,0.0,0.0,10.77,0.97,0.0
20230103:1810,0.0,0.0,0.0,9.24,1.1,0.0
20230103:1910,0.0,0.0,0.0,9.62,0.62,0.0
20230103:2010,0.0,0.0,0.0,9.03,0.55,0.0
20230103:2110,0.0,0.0,0.0,6.74,1.24,0.0
20230103:2210,0.0,0.0,0.0,4.78,1.66,0.0
20230103:2310,0.0,0.0,0.0,3.88,1.66,0.0
20230104:0010,0.0,0.0,0.0,3.2,1.59,0.0
20230104:0110,0.0,0.0,0.0,2.81,1.66,0.0
20230104:0210,0.0,0.0,0.0,2.38,1.66,0.0
20230104:0310,0.0,0.0,0.0,2.04,1.66,0.0
20230104:0410,0.0,0.0,0.0,0.89,1.66,0.0
20230104:0510,0.0,0.0,0.0,0.64,1.72,0.0
20230104:0610,0.0,0.0,0.0,0.45,1.72,0.0
20230104:0710,0.0,0.0,0.0,0.04,1.66,0.0
20230104:0810,150.02,186.89,4.41,-0.14,1.59,0.0
20230104:0910,412.91,465.43,13.09,1.96,1.1,0.0
20230104:1010,573.1,658.54,20.11,5.28,0.97,0.0
20230104:1110,674.96,801.78,24.87,7.79,0.62,0.0
20230104:1210,685.92,832.34,26.84,9.7,0.28,0.0
20230104:1310,666.27,810.38,25.77,10.89,0.28,0.0
20230104:1410,555.94,664.38,21.79,11.58,0.41,0.0
20230104:1510,443.48,526.44,15.39,11.8,0.41,0.0
20230104:1610,222.35,275.46,7.14,11.47,0.21,0.0
20230104:1710,0.0,0.0,0.0,10.8,0.34,0.0
20230104:1810,0.0,0.0,0.0,9.89,0.41,0.0
20230104:1910,0.0,0.0,0.0,7.76,0.9,0.0
20230104:2010,0.0,0.0,0.0,7.67,0.34,0.0
20230104:2110,0.0,0.0,0.0,7.23,0.41,0.0
20230104:2210,0.0,0.0,0.0,4.98,1.17,0.0
20230104:2310,0.0,0.0,0.0,2.98,1.52,0.0
20230105:0010,0.0,0.0,0.0,2.24,1.52,0.0
20230105:0110,0.0,0.0,0.0,1.71,1.59,0.0
20230105:0210,0.0,0.0,0.0,1.38,1.59,0.0
20230105:0310,0.0,0.0,0.0,1.02,1.66,0.0
20230105:0410,0.0,0.0,0.0,0.9,1.59,0.0
20230105:0510,0.0,0.0,0.0,0.51,1.59,0.0
20230105:0610,0.0,0.0,0.0,-0.55,1.59,0.0
20230105:0710,0.0,0.0,0.0,-0.85,1.59,0.0
20230105:0810,137.91,172.69,4.42,-1.01,1.45,0.0
20230105:0910,406.31,456.7,13.13,1.25,1.03,0.0
20230105:1010,580.55,666.95,20.16,4.89,0.9,0.0
